日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower
2022-04-25,2352,45.42,42.73,45.67,42.68,232312,1078836144.0,6.48,-7.41,-3.42,0.52,,,,,,,,,0.0,0.0,0.0,,
2022-04-26,2352,43.04,42.99,44.45,42.69,169135,776543808.0,4.12,0.61,0.26,0.38,,,,,,,,,0.020740740740741614,0.004148148148148323,0.01659259259259329,,
2022-04-27,2352,42.57,43.87,44.02,42.17,192589,879937360.0,4.3,2.05,0.88,0.43,,,,,,,,,0.10695367732405003,0.024709253983328665,0.08224442334072136,,
2022-04-28,2352,45.07,45.07,46.12,43.87,232678,1101492256.0,5.13,2.74,1.2,0.52,,,,,,,,,0.26900707576026406,0.07356881833871574,0.1954382574215483,,
2022-04-29,2352,45.29,48.87,49.22,45.1,336045,1668787632.0,9.14,8.43,3.8,0.75,44.706,,,,,,,,0.6960402844979257,0.19806311157055773,0.49797717292736793,,
2022-05-05,2352,47.62,48.12,49.1,47.33,237984,1206456656.0,3.62,-1.53,-0.75,0.53,45.784000000000006,,,,,89.11465892597968,,,0.962849319440565,0.3510203531445592,0.6118289662960057,,
2022-05-06,2352,46.87,46.74,47.85,46.22,129369,637144720.0,3.39,-2.87,-1.38,0.29,46.534,,,,,74.24425634824672,,,1.0508296252282108,0.4909822075612895,0.5598474176669213,,
2022-05-09,2352,46.75,47.43,48.0,46.44,93307,465084176.0,3.34,1.48,0.69,0.21,47.245999999999995,,,,,75.51724137931036,,,1.162827532893992,0.6253512726278301,0.537476260266162,,
2022-05-10,2352,46.76,47.23,47.87,45.37,147031,723102944.0,5.27,-0.42,-0.2,0.33,47.678,,,,,70.94763092269326,,,1.2213691695792193,0.744554852018108,0.47681431756111126,,
2022-05-11,2352,47.49,47.93,49.04,46.77,218485,1099447552.0,4.81,1.48,0.7,0.49,47.489999999999995,46.098,,,,69.01595744680851,,,1.3091568431123193,0.8574752502369503,0.451681592875369,,
2022-05-12,2352,47.27,47.07,48.56,46.82,143385,714856896.0,3.63,-1.79,-0.86,0.32,47.279999999999994,46.532,,,,30.349344978165973,,,1.294413204505922,0.9448628410907447,0.3495503634151773,,
2022-05-13,2352,47.47,47.37,47.94,46.83,109871,546266016.0,2.36,0.64,0.3,0.24,47.406,46.970000000000006,,,,40.92009685230023,71.05263157894738,,1.2920423969994204,1.0142987522724798,0.2777436447269406,,
2022-05-16,2352,47.35,46.25,47.86,46.06,114203,560244144.0,3.8,-2.36,-1.12,0.25,47.17,47.208000000000006,,,,43.6692506459948,64.49752883031303,,1.1861160675057292,1.0486622153191296,0.13745385218659956,,
2022-05-17,2352,46.21,46.87,47.82,45.77,155198,765796064.0,4.43,1.34,0.62,0.34,47.098,47.38799999999999,,,,42.63157894736838,65.52,,1.1390670507513434,1.0667431824055724,0.07232386834577098,,
2022-05-18,2352,46.89,46.17,47.13,44.58,273777,1316597136.0,5.44,-1.49,-0.7,0.61,46.745999999999995,47.118,,,,37.674418604651194,59.334415584415616,,1.033384008556304,1.0600713476357189,-0.026687339079414896,,
2022-05-19,2352,45.32,44.77,45.87,44.17,496239,2343761728.0,3.68,-3.03,-1.4,1.02,46.286,46.783,,,,18.39999999999995,48.80191693290735,,0.8271265366535587,1.013482385439287,-0.1863558487857282,,
2022-05-20,2352,45.15,48.11,48.32,44.52,543468,2680389424.0,8.49,7.46,3.34,1.12,46.434000000000005,46.92,,,,56.95187165775402,46.84908789386401,,0.9225416052579192,0.9952942294030135,-0.07275262414509431,,
2022-05-23,2352,48.11,47.74,48.49,47.07,319904,1602278816.0,2.95,-0.77,-0.37,0.66,46.732,46.951,,,,52.45033112582785,48.37328767123289,,0.9572680367256368,0.9876889908675383,-0.03042095414190149,,
2022-05-24,2352,47.73,45.88,47.97,45.77,297847,1462935600.0,4.61,-3.9,-1.86,0.61,46.534000000000006,46.815999999999995,,,,47.76839565741859,46.463815789473685,,0.8251902489954972,0.9551892424931301,-0.1299989934976329,,
2022-05-25,2352,46.25,46.07,46.48,45.32,211715,1025916256.0,2.53,0.41,0.19,0.44,46.514,46.63,46.364,,,44.91094147582698,44.1680960548885,,0.7274633184491321,0.9096440576843305,-0.1821807392351984,49.79600049073729,42.9319995092627
2022-05-26,2352,46.11,48.06,48.37,45.89,330628,1650191216.0,5.38,4.32,1.99,0.68,47.172000000000004,46.729,46.6305,,,60.327868852459034,53.08550185873607,,0.8013528934518561,0.8879858248378357,-0.0866329313859796,49.68090100901331,43.580098990986684
2022-05-27,2352,48.37,47.65,49.37,47.43,236399,1197632304.0,4.04,-0.85,-0.41,0.49,47.08,46.757,46.8635,,,67.64705882352939,48.93617021276595,,0.8174048067052482,0.8738696212113183,-0.056464814506070105,49.41399448250003,44.313005517499974
2022-05-30,2352,48.7,49.14,49.48,47.82,282415,1449904752.0,3.48,3.13,1.49,0.58,47.36,47.04600000000001,47.126999999999995,,,58.16164817749605,57.50543872371285,,0.9395263363857609,0.8870009642462069,0.052525372139553994,49.4544842980984,44.79951570190159
2022-05-31,2352,49.02,49.47,49.73,48.4,272303,1404780784.0,2.71,0.67,0.33,0.56,48.078,47.306000000000004,47.347,,,63.79585326953745,57.59768451519538,63.5668276972625,1.0508235310199439,0.9197654776009543,0.13105805341898957,49.687581124421854,45.00641887557815
2022-06-01,2352,48.89,49.87,50.84,48.88,307045,1612973536.0,3.96,0.81,0.4,0.63,48.838,47.676,47.397000000000006,,,91.4760914760914,63.81679389312978,64.14421553090334,1.1579558227587583,0.9674035466325152,0.19055227612624315,49.910878111184914,44.8831218888151
2022-06-02,2352,49.57,49.44,50.17,49.16,172189,893941536.0,2.03,-0.86,-0.43,0.35,49.114,48.143,47.463,,,83.36633663366331,59.953524399690174,62.69185360094452,1.1943933069101504,1.0128014986880423,0.1815918082221082,50.12192815761695,44.80407184238305
2022-06-06,2352,49.28,48.92,49.79,47.73,269118,1375351200.0,4.17,-1.05,-0.52,0.55,49.368,48.224000000000004,47.572,,,62.01117318435754,60.80125687352711,60.07984031936129,1.1678483921351983,1.0438108773774735,0.12403751475772484,50.28433129477788,44.85966870522213
2022-06-07,2352,48.67,50.5,50.76,48.49,305524,1601231936.0,4.64,3.23,1.58,0.63,49.64,48.5,47.7255,,,80.00000000000006,72.19209914794733,60.676366496264265,1.2597821666888862,1.087005135239756,0.17277703144913015,50.735178947731946,44.71582105226805
2022-06-08,2352,50.55,50.97,51.29,50.02,252173,1337905680.0,2.51,0.93,0.47,0.52,49.94,49.009,47.9125,,,74.53083109919575,64.24302788844622,54.75113122171947,1.3549464383000256,1.14059339585181,0.21435304244821562,51.24047314639974,44.584526853600266
2022-06-09,2352,50.95,49.38,50.96,49.2,167577,875510400.0,3.45,-3.12,-1.59,0.35,49.842,49.34,47.985,47.356,,49.09819639278561,57.28241563055063,52.74629468177857,1.2872267486700082,1.1699200664154497,0.11730668225455854,51.377136417316386,44.59286358268361
2022-06-10,2352,49.08,50.17,50.37,48.78,160563,837984496.0,3.22,1.6,0.79,0.33,49.988,49.551,48.14,47.604,,52.788104089219374,71.05004906771346,57.673378076062654,1.2825207041032414,1.192440193953008,0.09008051015023333,51.63775266195458,44.64224733804542
2022-06-13,2352,49.13,49.17,49.75,48.14,217078,1113817360.0,3.21,-1.99,-1.0,0.45,50.038,49.702999999999996,48.230000000000004,47.809999999999995,,47.73109243697482,64.09090909090911,53.839364518976176,1.1844459318175637,1.1908413415259191,-0.006395409708355393,51.73694949162972,44.723050508370285
2022-06-14,2352,48.57,48.45,48.94,47.66,213892,1082537600.0,2.6,-1.46,-0.72,0.44,49.628,49.634,48.34,47.96266666666667,,46.178861788617894,52.00411099691676,52.63157894736843,1.036672865988976,1.1600076464185305,-0.12333478042955459,51.7212112435759,44.958788756424106
2022-06-15,2352,48.75,49.3,49.91,48.42,218394,1124353168.0,3.08,1.75,0.85,0.45,49.294000000000004,49.617,48.4615,48.10366666666666,,38.92988929889294,58.11209439528024,52.93613373339048,0.9768885794738296,1.1233838330295904,-0.14649525355576087,51.79459576346388,45.12840423653612
2022-06-16,2352,49.29,49.79,50.13,49.1,155600,809518032.0,2.09,0.99,0.49,0.32,49.376000000000005,49.609,48.6425,48.13433333333333,,39.15441176470587,53.544165757906214,55.923344947735195,0.9580047244608423,1.0903080113158408,-0.13230328685499848,51.842137314973094,45.4428626850269
2022-06-17,2352,49.4,49.65,50.03,48.4,241490,1238992560.0,3.27,-0.28,-0.14,0.5,49.272000000000006,49.63,48.8865,48.18533333333333,,53.383458646616496,51.00222717149221,55.000000000000014,0.921124157434015,1.0564712405394756,-0.13534708310546062,51.54047636129556,46.232523638704436
2022-06-20,2352,50.53,50.05,50.86,49.92,191937,1009028192.0,1.89,0.81,0.4,0.4,49.44799999999999,49.743,48.9835,48.29566666666666,,48.33333333333327,51.00222717149221,58.605072463768124,0.9136408168012196,1.0279051557918244,-0.11426433899060484,51.65969742014276,46.307302579857236
2022-06-21,2352,50.08,49.9,50.45,49.43,140163,732015968.0,2.04,-0.3,-0.15,0.29,49.738,49.683,49.091499999999996,48.37800000000001,,63.27272727272725,52.64367816091954,57.01064322073115,0.8854001275099748,0.9994041501354546,-0.11400402262547982,51.730481262772244,46.45251873722775
2022-06-22,2352,49.75,47.86,50.05,47.7,214152,1088791200.0,4.71,-4.09,-2.04,0.44,49.449999999999996,49.372,49.1905,48.399,,42.7518427518427,44.81409001956945,53.68191721132897,0.6904491586634478,0.9376131518410533,-0.2471639931776055,51.4423715023637,46.9386284976363
2022-06-23,2352,47.9,47.45,48.35,46.82,248771,1231598528.0,3.2,-0.86,-0.41,0.51,48.982,49.178999999999995,49.2595,48.383,,24.517906336088203,33.14917127071821,56.102003642987256,0.49713487642000587,0.8495174967568438,-0.352382620336838,51.16701946944603,47.35198053055397
2022-06-24,2352,47.45,50.37,50.74,47.37,433274,2247852208.0,7.1,6.15,2.92,0.89,49.126,49.199,49.375,48.493,,54.78547854785478,47.39130434782607,55.246053853296196,0.5729469358997079,0.7942033845854167,-0.22125644868570882,51.25627056729442,47.49372943270558
2022-06-27,2352,50.37,51.91,52.25,50.27,368144,1985139296.0,3.93,3.06,1.54,0.76,49.498000000000005,49.473,49.588,48.64433333333333,,65.14745308310994,61.04803493449781,59.180977542932624,0.7486635416356506,0.7850954159954635,-0.03643187435981288,51.60656228147917,47.56943771852083
2022-06-28,2352,51.75,53.15,53.64,51.41,298404,1642507504.0,4.3,2.39,1.24,0.61,50.147999999999996,49.943,49.7885,48.87433333333333,,68.67469879518075,62.52100840336135,66.45540968764146,0.9767188476494439,0.8234201023262596,0.15329874532318433,52.344708335138485,47.23229166486151
2022-06-29,2352,53.14,52.41,53.65,52.23,215509,1187004752.0,2.67,-1.39,-0.74,0.44,51.058,50.254000000000005,49.9355,49.059,,64.1169853768279,63.91752577319587,64.0017667844523,1.0852326190545654,0.8757826056719208,0.20945001338264457,52.74061168742837,47.130388312571625
2022-06-30,2352,52.41,53.56,54.64,52.29,240278,1345616496.0,4.48,2.19,1.15,0.5,52.279999999999994,50.631,50.12,49.30533333333333,,85.62500000000001,71.1681855840928,62.61467889908258,1.2496210995679249,0.9505503044511217,0.29907079511680323,53.35884319829747,46.881156801702524
2022-07-01,2352,53.8,53.73,54.85,53.2,146358,822025552.0,3.08,0.32,0.17,0.3,52.952,51.039,50.334500000000006,49.604,,90.46391752577317,69.4468832309043,64.10018552875697,1.3777360504024045,1.0359874536413782,0.3417485967610263,53.932086764251245,46.736913235748766
2022-07-04,2352,53.65,53.73,54.24,52.55,129466,722199872.0,3.15,0.0,0.0,0.27,53.315999999999995,51.407,50.574999999999996,49.791333333333334,,84.71074380165285,68.07339449541284,61.43497757847534,1.4624103161513275,1.1212720261433682,0.34113829000795937,54.40972499528631,46.74027500471368
2022-07-05,2352,54.24,54.19,55.04,53.25,223936,1259658272.0,3.33,0.86,0.46,0.46,53.524,51.836,50.759499999999996,50.00633333333334,,80.3191489361702,70.23172905525848,61.6831683168317,1.548780064915853,1.2067736338978652,0.3420064310179878,54.92024626403535,46.59875373596464
2022-07-06,2352,53.87,52.28,53.87,51.55,213847,1169871120.0,4.28,-3.52,-1.91,0.44,53.498000000000005,52.278,50.825,50.21966666666666,,40.18058690744924,58.75883739198746,55.550437586365746,1.4464340838633802,1.2547057238909682,0.191728359972412,55.04058262190474,46.609417378095266
2022-07-07,2352,52.26,51.05,52.29,50.9,179857,963751184.0,2.66,-2.35,-1.23,0.37,52.996,52.638,50.908500000000004,50.385666666666665,,36.17886178861789,54.16364952932657,53.576188360728565,1.251645248749746,1.2540936288627238,-0.002448380112977766,55.06937174570552,46.74762825429449
2022-07-08,2352,51.65,52.13,52.6,51.13,161654,876011296.0,2.88,2.12,1.08,0.33,52.676,52.814,51.0065,50.52133333333334,,35.25773195876289,66.61478599221792,56.95708712613785,1.1709229961820853,1.2374595023265962,-0.0665365061445109,55.18641828174968,46.826581718250324
2022-07-11,2352,51.75,50.25,51.83,49.83,137165,722840512.0,3.84,-3.61,-1.88,0.28,51.98,52.648,51.060500000000005,50.608,,23.475609756097626,59.77653631284914,49.46512623020967,0.9443637043278557,1.1788403427268481,-0.23447663839899247,55.167795050465564,46.953204949534445
2022-07-12,2352,50.76,49.48,51.05,49.25,151055,784428602.6,3.58,-1.53,-0.77,0.31,51.038,52.28099999999999,51.111999999999995,50.61933333333333,,21.00954979536158,46.34346754313887,46.85255597803126,0.6946735046776524,1.082006975117009,-0.3873334704393565,55.10573509386889,47.1182649061311
2022-07-13,2352,49.35,49.51,49.95,48.98,166585,861482683.03,1.96,0.06,0.03,0.34,50.483999999999995,51.991,51.1225,50.62066666666667,,16.086956521739197,38.74296435272047,50.29398462234281,0.49352393509782644,0.9643103671131725,-0.4707864320153461,55.09723534372184,47.14776465627816
2022-07-14,2352,49.48,49.55,50.07,48.88,143218,739322230.1,2.4,0.08,0.04,0.3,50.184000000000005,51.589999999999996,51.1105,50.61,,22.862823061630266,30.972515856236797,48.54868913857677,0.33349479727775844,0.8381472531460897,-0.5046524558683313,55.1035807259822,47.117419274017806
2022-07-15,2352,50.25,48.63,50.81,48.48,361605,1872892507.81,4.7,-1.86,-0.92,0.75,49.484,51.08,51.0595,50.58299999999999,,24.36440677966111,30.394190871369346,48.7312030075188,0.13092501924462852,0.6967028063657975,-0.565777787121169,55.155842270855786,46.963157729144214
2022-07-18,2352,48.78,49.66,50.07,48.63,191616,988023478.44,2.96,2.12,1.03,0.4,49.366,50.672999999999995,51.04,50.60766666666667,,23.554603854389626,29.51680672268904,52.8022232515053,0.05288972284551363,0.5679401896617408,-0.5150504668162271,55.160219718208694,46.919780281791304
2022-07-19,2352,49.85,52.25,52.25,49.26,328568,1763572856.28,6.02,5.22,2.59,0.68,49.92,50.479,51.1575,50.666000000000004,,68.58736059479556,43.802345058626486,56.322331761680246,0.19775791258585684,0.493903734246564,-0.29614582166070713,55.27486694093637,47.04013305906363
2022-07-20,2352,52.45,51.65,52.54,51.55,158245,856352777.94,1.89,-1.15,-0.6,0.33,50.348,50.416000000000004,51.347,50.68866666666667,,70.82533589251443,41.70653907496013,53.967576791808874,0.2611417317546696,0.44735133374818514,-0.18620960199351555,55.163204231542394,47.53079576845761
2022-07-21,2352,50.97,50.75,52.39,50.65,173176,925436364.95,3.37,-1.74,-0.9,0.36,50.588,50.386,51.512,50.73433333333333,49.04516666666667,60.197368421052666,36.74884437596303,52.27272727272727,0.23603057319171228,0.4050871816368906,-0.16905660844517834,54.877506765625895,48.146493234374105
2022-07-22,2352,50.66,50.75,51.15,50.01,140611,742952246.4,2.25,0.0,0.0,0.29,51.012,50.248000000000005,51.53099999999999,50.75366666666667,49.17883333333334,59.93377483443712,43.08943089430894,51.470588235294116,0.2136667814607165,0.3668031016016558,-0.1531363201409393,54.87357322873765,48.188426771262336
2022-07-25,2352,50.95,50.38,51.49,50.27,117097,620454839.98,2.4,-0.73,-0.37,0.24,51.156,50.261,51.454499999999996,50.794,49.30200000000001,65.93806921675775,46.71890303623901,50.9991673605329,0.1641946736206421,0.3262814160054531,-0.16208674238481097,54.83041765302413,48.078582346975864
2022-07-26,2352,50.32,49.86,50.72,49.55,140358,731283547.25,2.32,-1.03,-0.52,0.29,50.678,50.299,51.29,50.841,49.40183333333333,52.008032128514074,38.238341968911904,54.44444444444445,0.08208182931721808,0.2774414986678061,-0.19535966935058802,54.63857078703578,47.941429212964216
2022-07-27,2352,49.75,48.69,49.83,48.45,171858,877847241.45,2.77,-2.35,-1.17,0.35,50.086,50.217,51.104,50.82066666666666,49.46216666666667,0.0,41.275167785234885,52.66552020636284,-0.07652033450247586,0.2066491320337497,-0.28316946653622554,54.600617312715094,47.607382687284904
2022-07-28,2352,48.75,48.47,49.05,48.44,150161,765415752.02,1.25,-0.45,-0.22,0.31,49.63,50.108999999999995,50.8495,50.776666666666664,49.4555,0.0,43.98092967818833,45.379377431906626,-0.21745912000790213,0.12182748162541934,-0.33928660163332147,54.33437544140464,47.36462455859536
2022-07-29,2352,48.6,47.59,48.7,47.12,231552,1152548112.96,3.26,-1.82,-0.88,0.48,48.998,50.005,50.5425,50.708,49.446666666666665,0.0,39.610389610389625,39.1457286432161,-0.3956025089935409,0.0183414835016273,-0.41394399249516817,54.04070329823602,47.044296701763976
