日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-10-28,4.76,-0.63,-95207597.0,-11.97,-58207664.0,-7.32,-36999933.0,-4.65,23826021.0,3.0,71381576.0,8.98,-95207597.0,-1.611376253934845,-1.9999999999999791,,-1.048473845951136
2024-10-29,4.78,0.42,59363706.0,7.49,38055796.0,4.8,21307910.0,2.69,-61175663.0,-7.72,1811955.0,0.23,59363704.0,1.6410617167688586,2.0000000673812064,,0.9931781221874331
2024-10-30,4.71,-1.46,-137740748.0,-18.12,-81489602.0,-10.72,-56251146.0,-7.4,55571337.0,7.31,82169410.0,10.81,-137740749.0,-1.5916157824871302,-1.999999985479954,,-1.610272141819377
2024-10-31,4.7,-0.21,4969090.0,0.62,-15165192.0,-1.88,20134282.0,2.5,-14499539.0,-1.8,9530450.0,1.18,4969091.0,-2.0519048654971197,1.9999995975114964,,0.2747079536042897
2024-11-01,4.76,1.28,7873015.0,0.85,3838842.0,0.41,4034173.0,0.44,-80065922.0,-8.65,72192911.0,7.8,7873019.0,1.4875941490803606,1.9999989838711172,-32148506.4,0.31306442908308957
2024-11-04,4.77,0.21,-32090091.0,-4.59,-8008789.0,-1.14,-24081302.0,-3.44,28150758.0,4.02,3939333.0,0.56,-32090091.0,-1.249572025208615,-1.9999999999999378,-19525005.2,-0.2147875179250949
2024-11-05,4.79,0.42,-75478226.0,-8.59,-70425639.0,-8.01,-5052587.0,-0.57,-3535922.0,-0.4,79014148.0,8.99,-75478226.0,-1.933059012277237,-1.9999999999999736,-46493391.2,-0.7878788398168084
2024-11-06,4.77,-0.42,-64428865.0,-8.81,-52814345.0,-7.22,-11614520.0,-1.59,30110313.0,4.12,34318552.0,4.69,-64428865.0,-1.8197311096509023,-1.999999999999969,-31831014.4,-0.6419335738691306
2024-11-07,4.8,0.63,-18885103.0,-1.96,15163233.0,1.57,-34048336.0,-3.53,-23307435.0,-2.42,42192526.0,4.37,-18885115.0,-0.19707955180573714,-1.9999987291577521,-36601855.6,-0.04036985393957557
2024-11-08,4.74,-1.25,-127406908.0,-10.53,-77745852.0,-6.42,-49661056.0,-4.1,60153728.0,4.97,67253195.0,5.56,-127406893.0,-1.6102171175306692,-2.000000235466051,-63657838.0,-1.473777609494385
2024-11-11,4.69,-1.05,-172961300.0,-15.87,-70241580.0,-6.44,-102719720.0,-9.42,88343763.0,8.1,84617541.0,7.76,-172961296.0,-1.4061115730770113,-2.0000000462531107,-91832079.0,-2.0754820393634685
2024-11-12,4.67,-0.43,-20573337.0,-2.42,-3809957.0,-0.45,-16763380.0,-1.97,19703073.0,2.32,870263.0,0.1,-20573338.0,-1.1851890053037974,-1.999999902786704,-80851101.4,-0.06266871400161773
2024-11-13,4.7,0.64,-21274021.0,-3.16,-8325143.0,-1.24,-12948878.0,-1.93,31003550.0,4.61,-9729529.0,-1.45,-21274021.0,-1.3913290769055182,-1.999999999999906,-72220132.6,-0.07192367153083745
2024-11-14,4.72,0.43,27639196.0,2.57,-47285492.0,-4.39,74924688.0,6.96,-32558301.0,-3.02,4919113.0,0.46,27639204.0,-0.7108126558203084,1.9999994211120553,-62915268.8,0.5741456922073552
2024-11-15,4.74,0.42,115285590.0,8.79,29800438.0,2.27,85485152.0,6.52,-80857328.0,-6.17,-34428255.0,-2.63,115285597.0,1.2584922295193453,1.9999998785624367,-14376770.8,1.7318213384044232
2024-11-18,4.88,2.95,171577136.0,7.86,121088176.0,5.55,50488960.0,2.31,-65078048.0,-2.98,-106499072.0,-4.88,171577152.0,1.7057359245594557,1.9999998134949692,54530918.8,2.475347227827651
2024-11-19,4.86,-0.41,-14575648.0,-1.15,24475312.0,1.93,-39050960.0,-3.08,-31754768.0,-2.5,46330411.0,3.65,-14575653.0,0.6791918001889398,-1.9999993139242542,55730455.8,0.01655158954312097
2024-11-20,4.84,-0.41,-33817222.0,-4.01,4841357.0,0.57,-38658579.0,-4.59,5012957.0,0.59,28804266.0,3.42,-33817221.0,-0.8568375562261353,-2.000000059141406,53221815.8,-0.2376002803261254
2024-11-21,4.84,0.0,-54109982.0,-10.33,-39974409.0,-7.63,-14135573.0,-2.7,13613487.0,2.6,40496495.0,7.73,-54109982.0,-1.7387621936373636,-1.9999999999999631,36871978.6,-0.5056368121181144
2024-11-22,4.79,-1.03,-15282075.0,-1.96,21209572.0,2.72,-36491647.0,-4.67,18168271.0,2.33,-2886196.0,-0.37,-15282075.0,0.38787252385553744,-1.999999999999869,10758444.2,0.007220828546056035
2024-11-25,4.79,0.0,52716495.0,6.23,48363722.0,5.71,4352773.0,0.51,-45973151.0,-5.43,-6743344.0,-0.8,52716495.0,1.917430530994105,1.999999999999962,-13013687.2,0.9053785937518252
2024-11-26,4.87,1.67,-21225973.0,-2.17,-13932757.0,-1.43,-7293216.0,-0.75,-29638384.0,-3.03,50864358.0,5.21,-21225972.0,-1.6564014123828272,-2.000000094224095,-14343751.0,-0.0712890172658967
2024-11-27,4.92,1.03,35356501.0,3.06,78496384.0,6.79,-43139883.0,-3.73,-24099264.0,-2.08,-11257249.0,-0.97,35356489.0,3.2201411458020277,2.0000006788003755,-509009.0,0.676079298297248
2024-11-28,4.91,-0.2,1061771.0,0.15,11345854.0,1.61,-10284083.0,-1.46,-56709160.0,-8.04,55647389.0,7.89,1061771.0,11.685782527483152,1.9999999999981164,10525341.6,0.22309819476459927
2024-11-29,4.89,-0.41,12291640.0,1.21,21835240.0,2.15,-9543600.0,-0.94,-16642448.0,-1.64,4350812.0,0.43,12291644.0,2.776429255516774,1.9999993491511794,16040085.4,0.37142774988942917
2024-12-02,4.89,0.0,-65318988.0,-7.79,-54497755.0,-6.5,-10821233.0,-1.29,32191544.0,3.84,33127443.0,3.95,-65318989.0,-1.8343324787222008,-1.999999969381002,-7567011.4,-0.6536907590951732
