日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-25,600809,244.93,241.55,254.55,238.15,63990,1654198832.0,6.58,-3.04,-7.58,0.53
2022-04-26,600809,242.05,245.56,254.05,242.05,87798,2281187280.0,4.97,1.66,4.01,0.72
2022-04-27,600809,247.55,256.9,258.04,247.05,82512,2195244512.0,4.48,4.62,11.34,0.68
2022-04-28,600809,259.45,260.05,263.8,257.45,64024,1745340416.0,2.47,1.23,3.15,0.53
2022-04-29,600809,262.05,260.05,265.65,248.3,82859,2234617936.0,6.67,0.0,0.0,0.68
2022-05-05,600809,259.05,255.11,263.75,254.65,55097,1483371888.0,3.5,-1.9,-4.94,0.45
2022-05-06,600809,250.05,241.71,250.05,238.05,54973,1398308320.0,4.7,-5.25,-13.4,0.45
2022-05-09,600809,238.05,233.42,238.05,228.05,62562,1523928128.0,4.14,-3.43,-8.29,0.51
2022-05-10,600809,228.06,239.12,243.05,226.55,66187,1648967504.0,7.07,2.44,5.7,0.54
2022-05-11,600809,238.57,244.84,249.49,238.57,57382,1474051088.0,4.57,2.39,5.72,0.47
2022-05-12,600809,244.04,246.86,251.93,241.15,37561,971856944.0,4.4,0.83,2.02,0.31
2022-05-13,600809,249.82,246.46,251.36,243.6,32997,853228400.0,3.14,-0.16,-0.4,0.27
2022-05-16,600809,247.14,243.0,248.72,240.75,38187,974661552.0,3.23,-1.4,-3.46,0.31
2022-05-17,600809,244.55,246.05,249.71,241.58,37600,971256032.0,3.35,1.26,3.05,0.31
2022-05-18,600809,247.93,246.24,248.05,239.55,41643,1065836224.0,3.45,0.08,0.19,0.34
2022-05-19,600809,243.05,241.05,244.85,238.71,43624,1103424736.0,2.49,-2.11,-5.19,0.36
2022-05-20,600809,243.52,251.03,252.61,243.51,69019,1803448672.0,3.78,4.14,9.98,0.57
2022-05-23,600809,250.99,243.05,250.99,242.05,63234,1621223104.0,3.56,-3.18,-7.98,0.52
2022-05-24,600809,243.39,240.09,244.02,239.04,40457,1021220224.0,2.05,-1.22,-2.96,0.33
2022-05-25,600809,242.3,236.31,242.63,229.55,62922,1553204576.0,5.45,-1.57,-3.78,0.52
2022-05-26,600809,236.05,233.65,236.84,230.21,52225,1279839024.0,2.81,-1.13,-2.66,0.43
2022-05-27,600809,236.05,239.34,242.92,234.25,60788,1533498176.0,3.71,2.44,5.69,0.5
2022-05-30,600809,242.15,249.3,250.05,240.05,80710,2092753344.0,4.18,4.16,9.96,0.66
2022-05-31,600809,248.05,260.55,262.65,245.56,90983,2450195360.0,6.86,4.51,11.25,0.75
2022-06-01,600809,258.45,259.65,260.93,255.05,47065,1274455808.0,2.26,-0.35,-0.9,0.39
2022-06-02,600809,256.15,258.3,261.76,256.05,30682,830107232.0,2.2,-0.52,-1.35,0.25
2022-06-06,600809,258.33,264.83,267.85,254.55,48091,1319986320.0,5.15,2.53,6.53,0.39
2022-06-07,600809,263.6,274.15,276.55,262.5,55121,1572721184.0,5.31,3.52,9.32,0.45
2022-06-08,600809,275.45,274.55,281.0,271.28,59868,1719321744.0,3.55,0.15,0.4,0.49
2022-06-09,600809,274.25,271.42,278.65,270.06,35538,1011207792.0,3.13,-1.14,-3.13,0.29
2022-06-10,600809,267.55,275.02,275.02,263.17,45721,1291683008.0,4.37,1.33,3.6,0.38
2022-06-13,600809,269.05,264.75,271.05,262.18,63370,1756814160.0,3.23,-3.73,-10.27,0.52
2022-06-14,600809,259.76,268.35,269.35,259.28,33212,923198848.0,3.8,1.36,3.6,0.27
2022-06-15,600809,268.05,274.06,278.05,264.55,58306,1663496528.0,5.03,2.13,5.71,0.48
2022-06-16,600809,275.39,271.05,278.74,269.15,32879,938896224.0,3.5,-1.1,-3.01,0.27
2022-06-17,600809,268.06,275.93,278.65,268.05,41713,1197082992.0,3.91,1.8,4.88,0.34
2022-06-20,600809,279.05,286.85,293.05,276.55,62846,1863577168.0,5.98,3.96,10.92,0.52
2022-06-21,600809,284.95,284.6,291.55,282.23,43088,1282835696.0,3.25,-0.78,-2.25,0.35
2022-06-22,600809,284.59,281.11,287.28,280.71,30099,886480912.0,2.31,-1.23,-3.49,0.25
2022-06-23,600809,284.03,288.33,288.71,281.22,45681,1361927104.0,2.66,2.57,7.22,0.38
2022-06-24,600809,290.96,290.85,294.55,287.28,45670,1386239584.0,2.52,0.87,2.52,0.38
2022-06-27,600809,293.06,307.55,312.05,293.06,69182,2202265392.0,6.53,5.74,16.7,0.57
2022-06-28,600809,305.55,307.45,311.72,305.23,53153,1696543072.0,2.11,-0.03,-0.1,0.44
