日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024-10-28,38.52,-1.48,-306873360.0,-11.99,-107267440.0,-4.19,-199605920.0,-7.8,17060560.0,0.67,289812800.0,11.32
2024-10-29,38.6,0.21,-45530544.0,-2.29,63129808.0,3.17,-108660352.0,-5.46,11899344.0,0.6,33631200.0,1.69
2024-10-30,37.88,-1.87,-255574160.0,-9.53,-246409760.0,-9.19,-9164400.0,-0.34,117120544.0,4.37,138453600.0,5.17
2024-10-31,37.36,-1.37,-433902032.0,-13.67,-211197472.0,-6.65,-222704560.0,-7.02,141460368.0,4.46,292441664.0,9.21
2024-11-01,38.01,1.74,16641216.0,0.62,-145687840.0,-5.45,162329056.0,6.08,5231232.0,0.2,-21872432.0,-0.82
2024-11-04,38.75,1.95,404104416.0,16.39,132883872.0,5.39,271220544.0,11.0,-75137056.0,-3.05,-328967344.0,-13.34
2024-11-05,39.08,0.85,66239072.0,2.71,-41081776.0,-1.68,107320848.0,4.39,211389584.0,8.64,-277628672.0,-11.35
2024-11-06,38.56,-1.33,-153667968.0,-6.14,114155216.0,4.56,-267823184.0,-10.71,91654096.0,3.66,62013888.0,2.48
2024-11-07,39.57,2.62,292774544.0,10.08,207561248.0,7.15,85213296.0,2.93,47636512.0,1.64,-340411072.0,-11.72
2024-11-08,38.8,-1.95,-125583168.0,-4.3,-31104592.0,-1.06,-94478576.0,-3.23,-74174800.0,-2.54,199757984.0,6.84
2024-11-11,38.33,-1.21,-96206880.0,-3.59,-73477616.0,-2.74,-22729264.0,-0.85,-141249120.0,-5.27,237455984.0,8.85
2024-11-12,37.59,-1.93,-408555856.0,-12.02,-132676672.0,-3.9,-275879184.0,-8.12,132651840.0,3.9,275903984.0,8.12
2024-11-13,37.82,0.61,-16074160.0,-0.88,53253120.0,2.9,-69327280.0,-3.78,8742416.0,0.48,7331728.0,0.4
2024-11-14,38.06,0.63,-156818128.0,-6.06,-151617328.0,-5.86,-5200800.0,-0.2,151160544.0,5.85,5657600.0,0.22
2024-11-15,37.82,-0.63,153293792.0,5.74,218268048.0,8.17,-64974256.0,-2.43,1033216.0,0.04,-154326992.0,-5.78
2024-11-18,37.9,0.21,128627152.0,4.41,9254544.0,0.32,119372608.0,4.09,85616512.0,2.93,-214243680.0,-7.34
2024-11-19,37.72,-0.47,157843363.0,8.02,22735411.0,1.16,135107952.0,6.87,-62866624.0,-3.19,-94976736.0,-4.83
2024-11-20,37.48,-0.64,50599869.0,2.99,-20567939.0,-1.21,71167808.0,4.2,-150400944.0,-8.88,99801056.0,5.89
2024-11-21,37.43,-0.13,-36317300.0,-2.77,-48331940.0,-3.69,12014640.0,0.92,-46908192.0,-3.58,83225487.0,6.35
2024-11-22,36.45,-2.62,-285347808.0,-11.21,-179803680.0,-7.07,-105544128.0,-4.15,-51015216.0,-2.0,336363024.0,13.22
2024-11-25,36.22,-0.63,-18086526.0,-0.93,-52005278.0,-2.67,33918752.0,1.74,-9168272.0,-0.47,27254784.0,1.4
2024-11-26,36.39,0.47,-160769715.0,-9.65,-37447203.0,-2.25,-123322512.0,-7.4,83635600.0,5.02,77134128.0,4.63
2024-11-27,36.6,0.58,6138663.0,0.43,17259047.0,1.21,-11120384.0,-0.78,14074256.0,0.98,-20212912.0,-1.41
2024-11-28,36.47,-0.36,10271895.0,0.62,17146279.0,1.04,-6874384.0,-0.42,-89613056.0,-5.44,79341136.0,4.81
2024-11-29,36.34,-0.36,-51662704.0,-2.12,19676464.0,0.81,-71339168.0,-2.93,46287376.0,1.9,5375328.0,0.22
2024-12-02,36.51,0.47,-78819159.0,-5.09,-33975143.0,-2.19,-44844016.0,-2.9,50873456.0,3.28,27945696.0,1.8
2024-12-03,37.12,1.67,76566560.0,2.88,15811200.0,0.59,60755360.0,2.28,25920880.0,0.97,-102487440.0,-3.85
2024-12-04,36.81,-0.84,-258408464.0,-11.31,-36797136.0,-1.61,-221611328.0,-9.7,134014912.0,5.86,124393552.0,5.44
2024-12-05,36.91,0.27,307722960.0,14.6,3450944.0,0.16,304272016.0,14.43,-182490368.0,-8.66,-125232592.0,-5.94
2024-12-06,37.7,2.14,310790112.0,9.43,8817408.0,0.27,301972704.0,9.16,-65163760.0,-1.98,-245626352.0,-7.45
2024-12-09,37.7,0.0,-25038448.0,-1.35,15735024.0,0.85,-40773472.0,-2.19,20480320.0,1.1,4558128.0,0.25
2024-12-10,38.6,2.39,201429008.0,5.01,109264736.0,2.72,92164272.0,2.29,127747616.0,3.18,-329176624.0,-8.18
2024-12-11,38.3,-0.78,67052569.0,3.37,-57269415.0,-2.88,124321984.0,6.25,-53746960.0,-2.7,-13305600.0,-0.67
2024-12-12,38.8,1.31,162776088.0,7.18,81761624.0,3.61,81014464.0,3.57,90620096.0,4.0,-253396176.0,-11.18
2024-12-13,37.3,-3.87,-460464416.0,-10.93,-122430352.0,-2.91,-338034064.0,-8.02,-20016240.0,-0.48,480480656.0,11.4
2024-12-16,37.74,1.18,201411856.0,8.36,29747920.0,1.23,171663936.0,7.13,-163748048.0,-6.8,-37663824.0,-1.56
2024-12-17,37.85,0.29,-12733648.0,-0.56,154446464.0,6.75,-167180112.0,-7.31,2182528.0,0.1,10551152.0,0.46
2024-12-18,38.52,1.77,-251611952.0,-8.11,-213402592.0,-6.88,-38209360.0,-1.23,133255664.0,4.3,118356304.0,3.82
2024-12-19,38.02,-1.3,-150964480.0,-6.46,-27193856.0,-1.16,-123770624.0,-5.3,90237104.0,3.86,60727392.0,2.6
2024-12-20,37.91,-0.29,-170059115.0,-8.25,61014325.0,2.96,-231073440.0,-11.21,-51180064.0,-2.48,221239168.0,10.74
2024-12-23,38.35,1.16,-474731376.0,-13.67,-323085312.0,-9.3,-151646064.0,-4.37,314959024.0,9.07,159772368.0,4.6
2024-12-24,39.22,2.27,198033840.0,5.11,223180800.0,5.76,-25146960.0,-0.65,228093040.0,5.89,-426126880.0,-11.0
2024-12-25,39.4,0.46,-246580064.0,-8.29,-151171072.0,-5.08,-95408992.0,-3.21,-75275776.0,-2.53,321855856.0,10.83
2024-12-26,39.48,0.2,227992240.0,10.73,13162416.0,0.62,214829824.0,10.11,-146089008.0,-6.87,-81903216.0,-3.85
2024-12-27,39.34,-0.35,-25126384.0,-0.92,-64135536.0,-2.34,39009152.0,1.42,130654480.0,4.76,-105528096.0,-3.85
2024-12-30,39.62,0.71,109955776.0,4.09,20613776.0,0.77,89342000.0,3.32,-64072608.0,-2.38,-45883168.0,-1.71
2024-12-31,39.3,-0.81,147771136.0,5.8,104762736.0,4.11,43008400.0,1.69,-162854560.0,-6.39,15083424.0,0.59
2025-01-02,38.51,-2.01,-147650080.0,-5.92,-69414896.0,-2.78,-78235184.0,-3.14,52829840.0,2.12,94820240.0,3.8
2025-01-03,38.66,0.39,67817344.0,2.56,147088.0,0.01,67670256.0,2.56,-56250976.0,-2.13,-11566336.0,-0.44
2025-01-06,39.05,1.01,-64675872.0,-2.7,-43974848.0,-1.84,-20701024.0,-0.86,48518192.0,2.03,16157664.0,0.67
2025-01-07,38.9,-0.38,156858817.0,8.18,83546369.0,4.36,73312448.0,3.82,-140701872.0,-7.34,-16156944.0,-0.84
2025-01-08,39.28,0.98,-88865008.0,-3.01,2072608.0,0.07,-90937616.0,-3.08,4523312.0,0.15,84341696.0,2.86
2025-01-09,39.0,-0.71,113171244.0,6.47,4315500.0,0.25,108855744.0,6.23,-4321184.0,-0.25,-108850064.0,-6.23
2025-01-10,38.98,-0.05,-119408385.0,-6.35,-26570065.0,-1.41,-92838320.0,-4.93,-90061296.0,-4.79,209469680.0,11.13
2025-01-13,39.07,0.23,-490695051.0,-20.79,-221917547.0,-9.4,-268777504.0,-11.39,-93252768.0,-3.95,583947824.0,24.74
2025-01-14,39.85,2.0,104872400.0,3.74,-52942384.0,-1.89,157814784.0,5.63,118172112.0,4.22,-223044512.0,-7.96
2025-01-15,40.64,1.98,25650336.0,0.79,195549152.0,6.05,-169898816.0,-5.25,-135577360.0,-4.19,109927040.0,3.4
2025-01-16,40.99,0.86,-181123840.0,-7.47,-23520976.0,-0.97,-157602864.0,-6.5,-18479504.0,-0.76,199603312.0,8.24
2025-01-17,40.71,-0.68,65699572.0,3.39,95815060.0,4.95,-30115488.0,-1.55,-62488960.0,-3.23,-3210608.0,-0.17
2025-01-20,40.12,-1.45,1804048.0,0.08,-8286976.0,-0.38,10091024.0,0.46,-3779328.0,-0.17,1975280.0,0.09
2025-01-21,40.14,0.05,141579040.0,8.77,83052640.0,5.15,58526400.0,3.63,-125489920.0,-7.78,-16089120.0,-1.0
2025-01-22,39.45,-1.72,-400451176.0,-17.21,-190994728.0,-8.21,-209456448.0,-9.0,104357424.0,4.48,296093760.0,12.72
2025-01-23,39.83,0.96,-134498736.0,-5.56,39523424.0,1.63,-174022160.0,-7.2,108857120.0,4.5,25641632.0,1.06
2025-01-24,40.26,1.08,28766864.0,1.24,25724080.0,1.11,3042784.0,0.13,74735552.0,3.23,-103502400.0,-4.48
2025-01-27,40.65,0.97,146198259.0,6.82,121530147.0,5.67,24668112.0,1.15,-237666368.0,-11.08,91468080.0,4.26
2025-02-05,40.0,-1.6,-10800243.0,-0.53,-17238803.0,-0.85,6438560.0,0.32,-66249616.0,-3.26,77049872.0,3.79
2025-02-06,40.2,0.5,70513866.0,3.78,2072586.0,0.11,68441280.0,3.67,47982400.0,2.57,-118496272.0,-6.35
2025-02-07,40.2,0.0,29858048.0,1.43,48096688.0,2.3,-18238640.0,-0.87,50099872.0,2.39,-79957920.0,-3.82
2025-02-10,40.6,1.0,201196720.0,8.53,123410016.0,5.23,77786704.0,3.3,-213700928.0,-9.06,12504224.0,0.53
2025-02-11,40.98,0.94,-92711520.0,-4.95,10033312.0,0.54,-102744832.0,-5.49,-34913312.0,-1.86,127624837.0,6.82
2025-02-12,41.62,1.56,48269280.0,1.94,113544496.0,4.57,-65275216.0,-2.63,-31475808.0,-1.27,-16793488.0,-0.68
2025-02-13,41.71,0.22,90508832.0,4.7,-654896.0,-0.03,91163728.0,4.73,-64219488.0,-3.33,-26289328.0,-1.36
2025-02-14,42.03,0.77,60242736.0,2.89,5438576.0,0.26,54804160.0,2.63,74086400.0,3.55,-134329152.0,-6.44
2025-02-17,41.72,-0.74,163313856.0,7.33,67269440.0,3.02,96044416.0,4.31,-207408432.0,-9.31,44094560.0,1.98
2025-02-18,42.05,0.79,-66225056.0,-2.88,55152816.0,2.4,-121377872.0,-5.27,-26488320.0,-1.15,92713376.0,4.03
2025-02-19,41.98,-0.17,80352416.0,5.11,-59381920.0,-3.78,139734336.0,8.89,-1679312.0,-0.11,-78673104.0,-5.0
