序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
1,603202,N天有,116.0,24.06,808603618.0,28.56,154832639.0,5.47,653770979.0,23.09,-597752704.0,-21.11,-210850928.0,-7.45
2,300750,宁德时代,236.87,1.51,358988992.0,8.35,197919232.0,4.61,161069760.0,3.75,-228814784.0,-5.32,-130174208.0,-3.03
3,601933,永辉超市,5.62,2.93,241340512.0,7.72,100522864.0,3.22,140817648.0,4.51,7073568.0,0.23,-248414096.0,-7.95
4,002584,西陇科学,10.78,10.0,224169095.0,17.09,249487317.0,19.02,-25318222.0,-1.93,-92796048.0,-7.07,-131373040.0,-10.02
5,000601,韶能股份,6.31,9.93,220268503.0,23.64,264896031.0,28.44,-44627528.0,-4.79,-92311901.0,-9.91,-127956609.0,-13.74
6,000560,我爱我家,3.65,5.8,209229008.0,10.45,167025568.0,8.34,42203440.0,2.11,-156456784.0,-7.82,-52772240.0,-2.64
7,002564,天沃科技,5.65,9.92,203190474.0,25.72,271554736.0,34.38,-68364262.0,-8.65,-111219640.0,-14.08,-91970840.0,-11.64
8,600310,广西能源,5.07,9.98,202615933.0,19.52,241008414.0,23.22,-38392481.0,-3.7,-106963017.0,-10.31,-95652909.0,-9.22
9,000965,天保基建,5.21,9.92,196179104.0,11.46,174612992.0,10.2,21566112.0,1.26,-100939744.0,-5.9,-95239360.0,-5.56
10,002582,好想你,12.0,9.99,177436118.0,22.44,196145742.0,24.81,-18709624.0,-2.37,-96250407.0,-12.17,-81185708.0,-10.27
11,002562,兄弟科技,4.61,5.98,175285042.0,25.83,188248108.0,27.74,-12963066.0,-1.91,-87736399.0,-12.93,-87548643.0,-12.9
12,002098,浔兴股份,9.66,10.02,173086441.0,29.19,195437310.0,32.96,-22350869.0,-3.77,-92666835.0,-15.63,-80419606.0,-13.56
13,000333,美的集团,72.95,1.53,164427221.0,9.76,106739717.0,6.34,57687504.0,3.42,-108156176.0,-6.42,-56271040.0,-3.34
14,001400,N江顺科,66.7,78.53,158018592.0,19.99,14573492.0,1.84,143445100.0,18.15,254186030.0,32.16,-412204624.0,-52.15
15,600505,西昌电力,17.31,9.97,150201137.0,15.96,227334414.0,24.16,-77133277.0,-8.2,-95796011.0,-10.18,-54405135.0,-5.78
16,002821,凯莱英,73.77,10.01,149625748.0,23.97,188145478.0,30.14,-38519730.0,-6.17,-77480494.0,-12.41,-72145256.0,-11.56
17,301171,易点天下,26.65,5.96,146279596.0,12.83,60213676.0,5.28,86065920.0,7.55,-51601696.0,-4.53,-94677904.0,-8.3
18,600744,华银电力,3.85,10.0,143744701.0,48.83,145093988.0,49.29,-1349287.0,-0.46,-58378371.0,-19.83,-85366329.0,-29.0
19,600629,华建集团,8.91,6.32,140614149.0,17.58,160626775.0,20.08,-20012626.0,-2.5,-80088261.0,-10.01,-60525891.0,-7.57
20,000430,ST张家界,6.98,0.43,133689707.0,23.88,40094168.0,7.16,93595539.0,16.72,-27501681.0,-4.91,-106188027.0,-18.97
21,000425,徐工机械,9.01,-0.99,133590766.0,24.9,40912728.0,7.62,92678038.0,17.27,4205869.0,0.78,-137796635.0,-25.68
22,300267,尔康制药,3.12,20.0,127687937.0,33.53,0.0,0.0,127687937.0,33.53,-69630051.0,-18.29,-58057885.0,-15.25
23,300014,亿纬锂能,40.92,1.26,125419607.0,11.39,57242615.0,5.2,68176992.0,6.19,38844416.0,3.53,-164264024.0,-14.92
24,002688,金河生物,6.55,4.63,121549243.0,11.57,151495706.0,14.43,-29946463.0,-2.85,-67932832.0,-6.47,-53616416.0,-5.11
