日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-25,688256,55.2,50.0,55.2,50.0,26103,135984721.0,9.36,-9.99,-5.55,1.08
2022-04-26,688256,50.5,47.3,51.11,47.03,19901,97930895.0,8.16,-5.4,-2.7,0.83
2022-04-27,688256,46.98,49.88,50.1,46.59,22862,110140625.0,7.42,5.45,2.58,0.95
2022-04-28,688256,50.66,48.59,51.0,48.42,15866,78376589.0,5.17,-2.59,-1.29,0.66
2022-04-29,688256,49.5,51.86,52.2,48.83,18942,96317511.0,6.94,6.73,3.27,0.79
2022-05-05,688256,51.38,52.9,54.0,51.34,22621,118695324.0,5.13,2.01,1.04,0.94
2022-05-06,688256,51.51,52.02,53.98,51.1,15845,83374156.0,5.44,-1.66,-0.88,0.66
2022-05-09,688256,51.8,53.01,53.51,51.58,10617,56256154.0,3.71,1.9,0.99,0.44
2022-05-10,688256,52.12,53.48,54.35,52.05,14884,79652802.0,4.34,0.89,0.47,0.62
2022-05-11,688256,54.0,52.92,55.2,52.8,21984,119322133.0,4.49,-1.05,-0.56,0.91
2022-05-12,688256,52.35,53.9,54.96,52.27,18016,97132598.0,5.08,1.85,0.98,0.75
2022-05-13,688256,54.5,52.89,54.5,52.86,13131,70020502.0,3.04,-1.87,-1.01,0.54
2022-05-16,688256,53.96,53.97,56.49,53.41,19683,107725568.0,5.82,2.04,1.08,0.82
2022-05-17,688256,53.11,54.28,54.76,53.1,13873,75069816.0,3.08,0.57,0.31,0.58
2022-05-18,688256,54.54,53.9,55.48,53.41,13875,75429936.0,3.81,-0.7,-0.38,0.58
2022-05-19,688256,53.02,55.06,55.18,52.75,18295,99571905.0,4.51,2.15,1.16,0.76
2022-05-20,688256,54.73,55.3,55.99,54.44,15244,83994949.0,2.82,0.44,0.24,0.63
2022-05-23,688256,55.55,56.99,57.02,55.22,22375,126410563.0,3.25,3.06,1.69,0.93
2022-05-24,688256,56.53,53.04,56.98,52.98,24947,136976224.0,7.02,-6.93,-3.95,1.04
2022-05-25,688256,53.05,53.72,54.98,52.86,14960,80271758.0,4.0,1.28,0.68,0.62
2022-05-26,688256,53.19,53.67,54.3,51.71,19288,102160579.0,4.82,-0.09,-0.05,0.8
2022-05-27,688256,54.03,53.0,54.48,52.68,14361,76578294.0,3.35,-1.25,-0.67,0.6
2022-05-30,688256,53.49,55.09,55.47,53.08,23354,127590494.0,4.51,3.94,2.09,0.97
2022-05-31,688256,55.32,56.6,57.83,54.2,26400,148341399.0,6.59,2.74,1.51,1.1
2022-06-01,688256,56.55,58.04,58.39,55.8,28274,162647890.0,4.58,2.54,1.44,1.17
2022-06-02,688256,57.89,61.86,63.99,57.08,53912,327409072.0,11.91,6.58,3.82,2.24
2022-06-06,688256,62.98,68.7,71.92,61.86,82129,544498592.0,16.26,11.06,6.84,3.41
2022-06-07,688256,68.3,69.28,71.07,67.21,47824,330294976.0,5.62,0.84,0.58,1.98
2022-06-08,688256,69.28,67.75,69.5,65.95,38890,262437428.0,5.12,-2.21,-1.53,1.61
2022-06-09,688256,67.06,64.1,67.86,63.69,36661,238944639.0,6.15,-5.39,-3.65,1.52
2022-06-10,688256,64.0,64.51,64.74,63.02,54133,345540176.0,2.68,0.64,0.41,2.25
2022-06-13,688256,63.9,64.0,65.58,63.02,42554,274067456.0,3.97,-0.79,-0.51,1.77
2022-06-14,688256,63.15,63.31,63.88,60.79,29962,186127813.0,4.83,-1.08,-0.69,1.24
2022-06-15,688256,63.61,62.52,65.24,62.52,33759,215703609.0,4.3,-1.25,-0.79,1.4
2022-06-16,688256,63.48,64.1,64.93,62.9,22182,142093311.0,3.25,2.53,1.58,0.92
2022-06-17,688256,63.35,63.3,64.5,61.8,22195,139837124.0,4.21,-1.25,-0.8,0.92
2022-06-20,688256,63.45,62.6,64.27,62.28,19351,121774237.0,3.14,-1.11,-0.7,0.8
2022-06-21,688256,62.66,62.36,63.85,61.96,22190,139375114.0,3.02,-0.38,-0.24,0.92
2022-06-22,688256,62.99,61.06,63.04,61.01,21758,134523992.0,3.26,-2.08,-1.3,0.9
2022-06-23,688256,61.2,64.3,64.55,61.07,31886,201433580.0,5.7,5.31,3.24,1.32
2022-06-24,688256,64.29,66.3,67.51,63.84,35658,235108707.0,5.71,3.11,2.0,1.48
2022-06-27,688256,67.09,66.44,68.59,66.4,29208,196657431.0,3.3,0.21,0.14,1.21
2022-06-28,688256,66.34,67.0,67.43,65.25,22960,151890738.0,3.28,0.84,0.56,0.95
2022-06-29,688256,67.0,65.86,68.1,65.82,27666,185193941.0,3.4,-1.7,-1.14,1.15
2022-06-30,688256,65.44,64.7,66.9,64.4,28592,186584066.0,3.8,-1.76,-1.16,1.19
2022-07-01,688256,64.0,62.68,64.69,61.94,34314,216123289.0,4.25,-3.12,-2.02,1.42
2022-07-04,688256,62.02,63.1,63.39,61.36,19899,124389922.0,3.24,0.67,0.42,0.83
2022-07-05,688256,63.3,62.47,64.85,62.1,19426,122662924.0,4.36,-1.0,-0.63,0.81
2022-07-06,688256,62.66,63.2,64.87,62.03,26668,169755308.0,4.55,1.17,0.73,1.11
2022-07-07,688256,63.3,61.66,63.77,61.65,19277,119776440.0,3.35,-2.44,-1.54,0.8
2022-07-08,688256,61.6,63.66,65.2,61.57,24156,153854735.0,5.89,3.24,2.0,1.0
2022-07-11,688256,63.08,61.5,63.23,61.24,18476,114205442.0,3.13,-3.39,-2.16,0.77
2022-07-12,688256,61.7,60.2,61.84,60.11,16287,99017209.0,2.81,-2.11,-1.3,0.68
2022-07-13,688256,61.34,60.35,61.59,60.1,12286,74643457.0,2.48,0.25,0.15,0.51
2022-07-14,688256,59.99,60.27,61.34,59.85,12051,72846478.0,2.47,-0.13,-0.08,0.5
2022-07-15,688256,60.49,60.1,61.93,60.03,13786,83893100.0,3.15,-0.28,-0.17,0.57
2022-07-18,688256,60.5,61.21,61.55,59.6,12079,73363092.0,3.24,1.85,1.11,0.5
2022-07-19,688256,61.0,63.99,64.3,60.3,23257,145923755.0,6.53,4.54,2.78,0.97
2022-07-20,688256,64.3,62.99,64.39,62.88,14955,95037204.0,2.36,-1.56,-1.0,0.62
2022-07-21,688256,63.09,63.4,65.4,63.09,21155,136359385.0,3.67,0.65,0.41,0.87
2022-07-22,688256,63.92,62.28,64.24,61.65,14551,91040139.0,4.09,-1.77,-1.12,0.6
2022-07-25,688256,62.2,62.0,63.55,61.7,12339,76977844.0,2.97,-0.45,-0.28,0.51
2022-07-26,688256,62.39,61.1,62.49,60.91,11750,72015824.0,2.55,-1.45,-0.9,0.49
2022-07-27,688256,61.19,61.69,63.6,60.73,13081,80790463.0,4.7,0.97,0.59,0.54
2022-07-28,688256,61.55,62.82,63.88,61.5,20198,127104409.0,3.86,1.83,1.13,0.83
2022-07-29,688256,63.51,61.0,63.56,61.0,14895,92115263.0,4.08,-2.9,-1.82,0.62
2022-08-01,688256,60.88,61.27,62.6,58.68,21444,130842158.0,6.43,0.44,0.27,0.89
2022-08-02,688256,60.5,59.28,60.9,58.0,25471,151513725.0,4.73,-3.25,-1.99,1.05
2022-08-03,688256,59.86,61.48,63.79,59.5,36549,226200858.0,7.24,3.71,2.2,1.51
2022-08-04,688256,61.48,63.53,64.74,61.48,30735,194221056.0,5.3,3.33,2.05,1.27
2022-08-05,688256,63.24,70.06,70.89,63.24,81902,560428238.0,12.04,10.28,6.53,3.38
2022-08-08,688256,71.37,67.17,72.0,66.23,64342,436503560.0,8.24,-4.13,-2.89,2.66
2022-08-09,688256,66.94,70.88,72.0,66.0,60801,419598039.0,8.93,5.52,3.71,2.51
2022-08-10,688256,69.06,69.59,72.88,69.04,54349,383296807.0,5.42,-1.82,-1.29,2.24
2022-08-11,688256,69.83,69.79,70.88,69.03,37041,259319603.0,2.66,0.29,0.2,1.53
2022-08-12,688256,69.7,67.65,70.18,67.5,39315,268717174.0,3.84,-3.07,-2.14,1.62
2022-08-15,688256,66.3,64.92,67.29,64.75,36132,236555295.0,3.75,-4.04,-2.73,1.49
2022-08-16,688256,65.25,63.93,66.1,63.66,26822,173528343.0,3.76,-1.52,-0.99,1.11
2022-08-17,688256,63.99,63.5,64.37,62.91,21998,139642451.0,2.28,-0.67,-0.43,0.91
2022-08-18,688256,63.37,63.64,63.99,62.06,26842,169243050.0,3.04,0.22,0.14,1.11
2022-08-19,688256,63.29,61.18,65.09,61.1,31842,199603681.0,6.27,-3.87,-2.46,1.31
2022-08-22,688256,60.63,61.11,61.87,60.1,13705,83754769.0,2.89,-0.11,-0.07,0.57
2022-08-23,688256,60.85,60.6,61.58,60.15,14317,86710279.0,2.34,-0.83,-0.51,0.59
2022-08-24,688256,60.7,58.13,60.7,58.04,23752,139821536.0,4.39,-4.08,-2.47,0.98
2022-08-25,688256,58.13,57.44,58.99,56.81,16385,94238838.0,3.75,-1.19,-0.69,0.68
2022-08-26,688256,57.73,57.5,58.45,57.16,11741,67942056.0,2.25,0.1,0.06,0.48
2022-08-29,688256,57.3,58.7,58.87,57.1,12664,73556274.0,3.08,2.09,1.2,0.52
2022-08-30,688256,58.8,58.27,59.2,57.76,8676,50636089.0,2.45,-0.73,-0.43,0.36
2022-08-31,688256,58.0,59.09,59.66,57.55,17282,101508028.0,3.62,1.41,0.82,0.71
2022-09-01,688256,67.0,67.32,70.91,66.5,120235,829259803.0,7.46,13.93,8.23,4.96
2022-09-02,688256,67.47,80.78,80.78,67.47,165613,1291388854.0,19.77,19.99,13.46,6.84
2022-09-05,688256,82.79,77.35,83.85,75.8,168456,1346785157.0,9.97,-4.25,-3.43,6.96
2022-09-06,688256,76.0,74.2,77.13,73.06,94137,702660809.0,5.26,-4.07,-3.15,3.89
2022-09-07,688256,74.85,79.68,81.23,74.85,117184,927598578.0,8.6,7.39,5.48,4.84
2022-09-08,688256,79.68,74.86,79.88,74.6,77005,588034114.0,6.63,-6.05,-4.82,3.18
2022-09-09,688256,74.28,72.0,74.78,71.6,55693,403597175.0,4.25,-3.82,-2.86,2.3
2022-09-13,688256,69.29,67.97,70.7,67.56,58441,402313130.0,4.36,-5.6,-4.03,2.41
2022-09-14,688256,67.68,70.5,70.96,67.3,64513,447402297.0,5.38,3.72,2.53,2.66
2022-09-15,688256,70.45,67.35,70.45,66.86,44340,302576591.0,5.09,-4.47,-3.15,1.83
2022-09-16,688256,67.0,69.24,72.88,66.99,56372,394419845.0,8.75,2.81,1.89,2.33
2022-09-19,688256,69.14,68.78,72.34,68.4,51394,362815690.0,5.69,-0.66,-0.46,2.12
2022-09-20,688256,69.02,67.56,70.67,67.0,43944,301307807.0,5.34,-1.77,-1.22,1.81
2022-09-21,688256,67.01,66.0,67.5,64.8,37526,248772494.0,4.0,-2.31,-1.56,1.55
2022-09-22,688256,65.51,66.35,67.49,65.51,24261,161708796.0,3.0,0.53,0.35,1.0
2022-09-23,688256,66.38,63.06,67.1,62.88,40223,258289190.0,6.36,-4.96,-3.29,1.66
2022-09-26,688256,62.01,63.31,64.33,61.82,27208,172753213.0,3.98,0.4,0.25,1.12
2022-09-27,688256,63.07,66.51,66.92,63.07,32021,210907501.0,6.08,5.05,3.2,1.32
2022-09-28,688256,65.68,64.56,68.2,64.23,36145,238275301.0,5.97,-2.93,-1.95,1.49
2022-09-29,688256,65.18,63.97,66.25,63.73,27694,178900472.0,3.9,-0.91,-0.59,1.14
2022-09-30,688256,64.04,62.68,64.5,62.66,21223,135133608.0,2.88,-2.02,-1.29,0.88
2022-10-10,688256,58.47,57.5,60.1,56.52,43379,250357481.0,5.71,-8.26,-5.18,1.79
2022-10-11,688256,57.98,56.26,58.18,55.88,24195,137580132.0,4.0,-2.16,-1.24,1.0
2022-10-12,688256,56.68,59.39,59.75,55.5,33022,189891662.0,7.55,5.56,3.13,1.36
2022-10-13,688256,58.5,59.31,60.63,58.5,20138,120166010.0,3.59,-0.13,-0.08,0.83
2022-10-14,688256,60.0,60.77,61.45,59.68,20657,125301664.0,2.98,2.46,1.46,0.85
2022-10-17,688256,60.28,61.8,62.59,59.5,20756,127901682.0,5.08,1.69,1.03,0.86
2022-10-18,688256,62.3,60.51,62.43,60.33,20104,122541280.0,3.4,-2.09,-1.29,0.83
2022-10-19,688256,60.68,59.11,61.01,59.11,18456,110246891.0,3.14,-2.31,-1.4,0.76
2022-10-20,688256,58.55,63.93,64.49,58.51,49271,307751716.0,10.12,8.15,4.82,2.03
2022-10-21,688256,63.5,65.33,66.0,62.12,34866,223711597.0,6.07,2.19,1.4,1.44
2022-10-24,688256,66.2,64.68,68.18,64.0,29021,191219440.0,6.4,-0.99,-0.65,1.2
2022-10-25,688256,64.3,64.35,65.6,62.95,24320,156110450.0,4.1,-0.51,-0.33,1.0
2022-10-26,688256,65.0,65.8,66.45,63.0,29017,189222308.0,5.36,2.25,1.45,1.2
2022-10-27,688256,65.44,67.42,68.68,65.44,41326,277278429.0,4.92,2.46,1.62,1.71
2022-10-28,688256,66.6,64.82,68.48,64.23,35069,232850481.0,6.3,-3.86,-2.6,1.45
2022-10-31,688256,64.4,65.76,67.5,64.05,30644,203355179.0,5.32,1.45,0.94,1.27
2022-11-01,688256,65.77,65.34,65.77,62.64,46691,300327548.0,4.76,-0.64,-0.42,1.93
2022-11-02,688256,65.34,65.88,67.32,65.05,27940,184386900.0,3.47,0.83,0.54,1.15
2022-11-03,688256,64.08,67.15,67.73,64.06,28232,188471951.0,5.57,1.93,1.27,1.17
2022-11-04,688256,66.77,67.69,68.4,66.18,26032,175353643.0,3.31,0.8,0.54,1.07
2022-11-07,688256,67.64,66.21,68.74,66.18,24755,165958634.0,3.78,-2.19,-1.48,1.02
2022-11-08,688256,66.18,65.48,66.39,64.71,17615,114969185.0,2.54,-1.1,-0.73,0.73
2022-11-09,688256,65.91,65.35,66.36,64.48,14536,95162931.0,2.87,-0.2,-0.13,0.6
2022-11-10,688256,64.8,64.09,67.3,64.04,26719,175096950.0,4.99,-1.93,-1.26,1.1
2022-11-11,688256,66.0,64.68,67.1,64.55,30276,199451104.0,3.98,0.92,0.59,1.25
2022-11-14,688256,64.65,66.48,67.3,63.81,23262,153552695.0,5.4,2.78,1.8,0.96
2022-11-15,688256,66.5,69.14,70.0,66.45,36689,253105881.0,5.34,4.0,2.66,1.51
2022-11-16,688256,68.88,68.5,69.9,68.2,23907,164930590.0,2.46,-0.93,-0.64,0.99
2022-11-17,688256,68.0,69.45,69.64,67.13,26159,179185983.0,3.66,1.39,0.95,1.08
2022-11-18,688256,69.99,67.77,70.5,67.77,23472,161607893.0,3.93,-2.42,-1.68,0.97
2022-11-21,688256,69.01,67.7,70.38,66.66,31072,213231482.0,5.49,-0.1,-0.07,1.28
2022-11-22,688256,67.42,65.88,68.6,65.79,23733,158875832.0,4.15,-2.69,-1.82,0.98
2022-11-23,688256,65.9,64.54,66.24,64.2,22075,143160883.0,3.1,-2.03,-1.34,0.91
2022-11-24,688256,64.95,63.65,65.77,63.55,15971,102698556.0,3.44,-1.38,-0.89,0.66
2022-11-25,688256,63.48,63.45,64.53,63.12,13228,84313111.0,2.22,-0.31,-0.2,0.55
2022-11-28,688256,62.06,62.25,63.45,61.68,15480,96477287.0,2.79,-1.89,-1.2,0.64
2022-11-29,688256,62.57,64.19,64.66,62.57,17467,111497118.0,3.36,3.12,1.94,0.72
2022-11-30,688256,64.17,63.42,64.74,63.21,28951,185105632.0,2.38,-1.2,-0.77,1.2
2022-12-01,688256,64.6,64.92,65.75,64.01,19846,129028847.0,2.74,2.37,1.5,0.82
2022-12-02,688256,65.43,66.0,66.17,64.61,17226,113257220.0,2.4,1.66,1.08,0.71
2022-12-05,688256,66.6,66.49,67.49,65.62,17821,118047342.0,2.83,0.74,0.49,0.74
2022-12-06,688256,66.5,67.59,68.21,66.0,23226,157059209.0,3.32,1.65,1.1,0.96
2022-12-07,688256,67.34,67.06,67.78,66.88,13691,91998760.0,1.33,-0.78,-0.53,0.57
2022-12-08,688256,66.9,65.22,67.06,65.03,18570,121898031.0,3.03,-2.74,-1.84,0.77
2022-12-09,688256,65.07,65.71,66.66,64.88,23705,156102561.0,2.73,0.75,0.49,0.98
2022-12-12,688256,65.88,67.11,67.9,65.5,23844,159734885.0,3.65,2.13,1.4,0.98
2022-12-13,688256,67.16,66.87,67.4,66.36,14252,95272661.0,1.55,-0.36,-0.24,0.59
2022-12-14,688256,69.99,66.81,70.05,66.81,24875,169611002.0,4.85,-0.09,-0.06,1.03
2022-12-15,688256,67.0,67.48,68.4,65.71,18622,126142343.0,4.03,1.0,0.67,0.77
2022-12-16,688256,64.95,63.98,65.4,61.49,47847,305005871.0,5.79,-5.19,-3.5,1.98
2022-12-19,688256,63.06,60.3,63.46,60.1,37314,229085918.0,5.25,-5.75,-3.68,1.54
2022-12-20,688256,60.35,59.9,61.35,59.43,18877,113827687.0,3.18,-0.66,-0.4,0.78
2022-12-21,688256,59.89,58.53,60.34,58.23,17729,104847569.0,3.52,-2.29,-1.37,0.73
2022-12-22,688256,58.94,57.19,59.4,56.88,17381,100559715.0,4.31,-2.29,-1.34,0.72
2022-12-23,688256,56.79,56.47,57.5,55.9,17906,101300311.0,2.8,-1.26,-0.72,0.74
2022-12-26,688256,56.48,57.14,57.75,56.48,18086,103667456.0,2.25,1.19,0.67,0.75
2022-12-27,688256,57.0,57.17,57.49,56.31,16729,95088535.0,2.07,0.05,0.03,0.69
2022-12-28,688256,57.0,55.88,57.17,55.68,13212,74184647.0,2.61,-2.26,-1.29,0.55
2022-12-29,688256,55.9,55.6,56.47,55.6,13195,73836859.0,1.56,-0.5,-0.28,0.54
2022-12-30,688256,56.37,54.56,56.37,54.5,20872,115094933.0,3.36,-1.87,-1.04,0.86
2023-01-03,688256,54.51,56.78,57.34,54.15,20491,114950544.0,5.85,4.07,2.22,0.85
2023-01-04,688256,57.23,56.94,58.08,56.33,15567,88769209.0,3.08,0.28,0.16,0.64
2023-01-05,688256,56.88,56.8,57.22,55.8,16151,91448611.0,2.49,-0.25,-0.14,0.67
2023-01-06,688256,56.98,56.65,57.54,56.02,17082,97090922.0,2.68,-0.26,-0.15,0.71
2023-01-09,688256,56.83,56.89,57.6,56.6,14167,80789058.0,1.77,0.42,0.24,0.58
2023-01-10,688256,56.89,57.14,58.16,56.89,19147,109909934.0,2.23,0.44,0.25,0.79
2023-01-11,688256,57.17,56.37,58.0,56.25,16727,95478630.0,3.06,-1.35,-0.77,0.69
2023-01-12,688256,56.19,55.73,56.68,55.3,18234,101906330.0,2.45,-1.14,-0.64,0.75
2023-01-13,688256,56.26,56.09,56.26,55.51,11981,67067291.0,1.35,0.65,0.36,0.49
2023-01-16,688256,55.99,57.79,58.5,55.83,27548,158869671.0,4.76,3.03,1.7,1.14
2023-01-17,688256,57.99,58.05,59.42,57.52,20689,121012993.0,3.29,0.45,0.26,0.85
2023-01-18,688256,58.55,58.5,59.17,58.04,16387,96114529.0,1.95,0.78,0.45,0.68
2023-01-19,688256,58.1,61.0,61.0,58.07,28935,173912817.0,5.01,4.27,2.5,1.19
2023-01-20,688256,61.02,61.03,61.63,60.51,18462,112711724.0,1.84,0.05,0.03,0.76
2023-01-30,688256,65.5,64.31,65.98,63.56,50901,329053146.0,3.97,5.37,3.28,2.1
2023-01-31,688256,64.0,62.1,64.78,61.88,28411,178354197.0,4.51,-3.44,-2.21,1.17
2023-02-01,688256,62.0,64.74,65.98,62.0,44081,283995043.0,6.41,4.25,2.64,1.82
2023-02-02,688256,66.0,69.9,74.69,65.71,92852,661459274.0,13.87,7.97,5.16,3.83
2023-02-03,688256,69.88,71.11,72.78,69.84,81695,582621675.0,4.21,1.73,1.21,3.37
2023-02-06,688256,73.1,72.84,74.96,71.05,105268,771667409.0,5.5,2.43,1.73,4.35
2023-02-07,688256,71.31,75.7,80.88,71.31,151268,1150227076.0,13.14,3.93,2.86,6.25
2023-02-08,688256,78.0,74.8,82.3,74.8,139144,1091894131.0,9.91,-1.19,-0.9,5.75
2023-02-09,688256,73.21,79.07,80.0,72.55,148114,1135510703.0,9.96,5.71,4.27,6.12
