datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率
2025-03-07 09:35:00,5.6,5.59,5.62,5.58,-0.18,-0.01,83692,46852978.0,0.71,0.02
2025-03-07 09:40:00,5.58,5.58,5.59,5.57,-0.18,-0.01,46104,25717467.0,0.36,0.01
2025-03-07 09:45:00,5.57,5.56,5.59,5.56,-0.36,-0.02,55250,30792607.0,0.54,0.01
2025-03-07 09:50:00,5.57,5.57,5.57,5.56,0.18,0.01,19787,11006309.0,0.18,0.0
2025-03-07 09:55:00,5.56,5.57,5.57,5.56,0.0,0.0,19426,10808661.0,0.18,0.0
2025-03-07 10:00:00,5.57,5.56,5.57,5.55,-0.18,-0.01,39113,21752937.0,0.36,0.01
2025-03-07 10:05:00,5.56,5.55,5.57,5.55,-0.18,-0.01,29107,16173148.0,0.36,0.01
2025-03-07 10:10:00,5.55,5.57,5.58,5.55,0.36,0.02,67529,37554357.0,0.54,0.01
2025-03-07 10:15:00,5.57,5.56,5.57,5.55,-0.18,-0.01,23362,12985770.0,0.36,0.0
2025-03-07 10:20:00,5.56,5.57,5.57,5.55,0.18,0.01,20946,11642566.0,0.36,0.0
2025-03-07 10:25:00,5.57,5.56,5.57,5.55,-0.18,-0.01,15727,8733689.0,0.36,0.0
2025-03-07 10:30:00,5.56,5.55,5.56,5.54,-0.18,-0.01,34799,19313143.0,0.36,0.01
2025-03-07 10:35:00,5.55,5.55,5.55,5.54,0.0,0.0,14938,8282896.0,0.18,0.0
2025-03-07 10:40:00,5.54,5.54,5.55,5.53,-0.18,-0.01,53357,29557707.0,0.36,0.01
2025-03-07 10:45:00,5.53,5.54,5.55,5.53,0.0,0.0,25195,13955524.0,0.36,0.01
2025-03-07 10:50:00,5.54,5.53,5.54,5.53,-0.18,-0.01,15135,8378603.0,0.18,0.0
2025-03-07 10:55:00,5.54,5.54,5.54,5.53,0.18,0.01,8068,4463962.0,0.18,0.0
2025-03-07 11:00:00,5.54,5.54,5.54,5.53,0.0,0.0,8369,4630843.0,0.18,0.0
2025-03-07 11:05:00,5.53,5.53,5.54,5.52,-0.18,-0.01,60185,33275619.0,0.36,0.01
2025-03-07 11:10:00,5.52,5.53,5.53,5.52,0.0,0.0,18095,9991637.0,0.18,0.0
2025-03-07 11:15:00,5.52,5.51,5.53,5.51,-0.36,-0.02,41776,23062031.0,0.36,0.01
2025-03-07 11:20:00,5.52,5.52,5.53,5.52,0.18,0.01,16124,8902719.0,0.18,0.0
2025-03-07 11:25:00,5.53,5.53,5.53,5.52,0.18,0.01,9571,5287138.0,0.18,0.0
2025-03-07 11:30:00,5.53,5.53,5.53,5.52,0.0,0.0,20629,11390791.0,0.18,0.0
2025-03-07 13:05:00,5.53,5.54,5.54,5.52,0.18,0.01,35216,19477297.0,0.36,0.01
2025-03-07 13:10:00,5.54,5.54,5.54,5.53,0.0,0.0,18641,10317374.0,0.18,0.0
2025-03-07 13:15:00,5.54,5.54,5.55,5.53,0.0,0.0,24830,13752903.0,0.36,0.01
2025-03-07 13:20:00,5.54,5.55,5.55,5.54,0.18,0.01,12453,6906679.0,0.18,0.0
2025-03-07 13:25:00,5.55,5.55,5.55,5.54,0.0,0.0,14062,7797373.0,0.18,0.0
2025-03-07 13:30:00,5.55,5.54,5.55,5.54,-0.18,-0.01,16829,9329370.0,0.18,0.0
2025-03-07 13:35:00,5.56,5.56,5.56,5.55,0.36,0.02,25130,13956191.0,0.18,0.01
2025-03-07 13:40:00,5.56,5.55,5.56,5.54,-0.18,-0.01,22093,12267498.0,0.36,0.0
2025-03-07 13:45:00,5.55,5.56,5.56,5.54,0.18,0.01,20711,11500056.0,0.36,0.0
2025-03-07 13:50:00,5.55,5.56,5.56,5.55,0.0,0.0,15448,8578542.0,0.18,0.0
2025-03-07 13:55:00,5.55,5.56,5.56,5.55,0.0,0.0,15608,8670131.0,0.18,0.0
2025-03-07 14:00:00,5.55,5.55,5.56,5.55,-0.18,-0.01,13971,7763578.0,0.18,0.0
