日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024-10-24,27.04,-1.06,-315480704.0,-7.07,-340910880.0,-7.64,25430176.0,0.57,-60860432.0,-1.36,376341120.0,8.44
2024-10-25,27.26,0.81,139716528.0,3.05,146101152.0,3.19,-6384624.0,-0.14,-186295600.0,-4.07,46579072.0,1.02
2024-10-28,27.25,-0.04,-180957616.0,-4.9,-173757664.0,-4.71,-7199952.0,-0.2,-10666896.0,-0.29,191624512.0,5.19
2024-10-29,26.99,-0.95,-322348944.0,-6.26,-313500272.0,-6.09,-8848672.0,-0.17,18999472.0,0.37,303349456.0,5.9
2024-10-30,27.22,0.85,112136320.0,2.1,310294240.0,5.82,-198157920.0,-3.72,-206318672.0,-3.87,94182368.0,1.77
2024-10-31,27.88,2.42,274215008.0,2.38,530358592.0,4.6,-256143584.0,-2.22,-171881808.0,-1.49,-102333200.0,-0.89
2024-11-01,27.71,-0.61,-139976544.0,-1.82,-233176736.0,-3.04,93200192.0,1.21,9157408.0,0.12,130819136.0,1.71
2024-11-04,28.82,4.01,469711504.0,5.99,279347072.0,3.56,190364432.0,2.43,-202372480.0,-2.58,-267339024.0,-3.41
2024-11-05,30.23,4.89,-362959024.0,-2.83,-593524304.0,-4.63,230565280.0,1.8,261265168.0,2.04,101693840.0,0.79
2024-11-06,30.84,2.02,-581941504.0,-3.38,-573307136.0,-3.33,-8634368.0,-0.05,159178752.0,0.92,422762832.0,2.45
2024-11-07,33.95,10.08,2194207424.0,14.12,3092384768.0,19.9,-898177344.0,-5.78,-1204516112.0,-7.75,-989691376.0,-6.37
2024-11-08,34.64,2.03,-2455747840.0,-9.27,-2295837696.0,-8.67,-159910144.0,-0.6,861224448.0,3.25,1594523200.0,6.02
2024-11-11,34.64,0.0,-912752128.0,-5.17,-727563264.0,-4.12,-185188864.0,-1.05,192468320.0,1.09,720283760.0,4.08
2024-11-12,33.69,-2.74,-2144522288.0,-15.14,-1662620288.0,-11.74,-481902000.0,-3.4,413690416.0,2.92,1730831856.0,12.22
2024-11-13,32.68,-3.0,-1581011360.0,-13.16,-1237572960.0,-10.3,-343438400.0,-2.86,392289728.0,3.27,1188721648.0,9.9
2024-11-14,32.43,-0.76,-592100288.0,-7.01,-514914288.0,-6.09,-77186000.0,-0.91,103858192.0,1.23,488242112.0,5.78
2024-11-15,30.89,-4.75,-937893568.0,-9.71,-640307168.0,-6.63,-297586400.0,-3.08,13282944.0,0.14,924610608.0,9.57
2024-11-18,30.43,-1.49,-459719664.0,-6.08,-277191168.0,-3.66,-182528496.0,-2.41,-26866352.0,-0.36,486586000.0,6.43
2024-11-19,31.06,2.07,47709888.0,0.7,157097696.0,2.31,-109387808.0,-1.61,-1616432.0,-0.02,-46093456.0,-0.68
2024-11-20,31.5,1.42,326425344.0,4.75,312678160.0,4.55,13747184.0,0.2,-113812208.0,-1.66,-212613136.0,-3.09
2024-11-21,31.65,0.48,-115332576.0,-1.91,-216469792.0,-3.58,101137216.0,1.67,43704960.0,0.72,71627632.0,1.19
2024-11-22,30.09,-4.93,-952655936.0,-13.3,-928124784.0,-12.95,-24531152.0,-0.34,67528560.0,0.94,885127360.0,12.35
2024-11-25,29.42,-2.23,-744638864.0,-10.82,-566298672.0,-8.23,-178340192.0,-2.59,-22662688.0,-0.33,767301552.0,11.15
2024-11-26,29.48,0.2,-231598304.0,-5.68,-160837520.0,-3.94,-70760784.0,-1.74,32384320.0,0.79,199213984.0,4.89
2024-11-27,30.04,1.9,193131024.0,3.61,211511168.0,3.96,-18380144.0,-0.34,-9629840.0,-0.18,-183501184.0,-3.43
2024-11-28,29.63,-1.36,-114968976.0,-2.98,-84935552.0,-2.2,-30033424.0,-0.78,-35645296.0,-0.92,150614272.0,3.9
2024-11-29,30.51,2.97,283895168.0,3.14,303587904.0,3.36,-19692736.0,-0.22,-93855440.0,-1.04,-190039728.0,-2.1
2024-12-02,31.03,1.7,223978112.0,3.72,52838048.0,0.88,171140064.0,2.84,-56748336.0,-0.94,-167229760.0,-2.78
2024-12-03,30.84,-0.61,-149929952.0,-3.13,-92645584.0,-1.93,-57284368.0,-1.2,-65285744.0,-1.36,215215712.0,4.49
2024-12-04,30.56,-0.91,-340277648.0,-9.34,-314626832.0,-8.64,-25650816.0,-0.7,-14595968.0,-0.4,354873616.0,9.74
2024-12-05,30.66,0.33,85144272.0,2.38,88574528.0,2.47,-3430256.0,-0.1,-69666576.0,-1.94,-15477680.0,-0.43
2024-12-06,31.0,1.11,-20718048.0,-0.32,-186686976.0,-2.91,165968928.0,2.59,143634608.0,2.24,-122916576.0,-1.91
2024-12-09,30.88,-0.39,-274778320.0,-7.02,-191103136.0,-4.88,-83675184.0,-2.14,4132864.0,0.11,270645472.0,6.92
2024-12-10,31.24,1.17,-404977168.0,-4.1,-423615024.0,-4.29,18637856.0,0.19,244207792.0,2.47,160769360.0,1.63
2024-12-11,31.1,-0.45,-300115952.0,-7.28,-73015584.0,-1.77,-227100368.0,-5.51,79495904.0,1.93,220620032.0,5.36
2024-12-12,31.42,1.03,85522144.0,1.6,83875472.0,1.57,1646672.0,0.03,-117263136.0,-2.2,31740992.0,0.6
2024-12-13,30.18,-3.95,-1013099648.0,-16.33,-783138448.0,-12.62,-229961200.0,-3.71,30322128.0,0.49,982777536.0,15.84
2024-12-16,29.79,-1.29,-364689472.0,-9.59,-165817584.0,-4.36,-198871888.0,-5.23,-67996400.0,-1.79,432685872.0,11.38
2024-12-17,29.99,0.67,-97866256.0,-2.7,-48752896.0,-1.35,-49113360.0,-1.36,2678736.0,0.07,95187520.0,2.63
2024-12-18,30.05,0.2,-94861024.0,-4.48,-111945952.0,-5.29,17084928.0,0.81,-21713424.0,-1.03,116574448.0,5.51
2024-12-19,30.09,0.13,-140043776.0,-5.03,-47334464.0,-1.7,-92709312.0,-3.33,13693968.0,0.49,126349808.0,4.54
