序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
1,601899,紫金矿业,18.6,5.56,985058512.0,17.0,699730176.0,12.07,285328336.0,4.92,-393068032.0,-6.78,-591990464.0,-10.21
2,002094,青岛金王,7.39,9.97,498856553.0,28.97,475860457.0,27.63,22996096.0,1.34,-212098720.0,-12.32,-286757840.0,-16.65
3,600589,大位科技,6.64,9.93,463164324.0,40.92,470868992.0,41.6,-7704668.0,-0.68,-182139483.0,-16.09,-281024841.0,-24.83
4,002131,利欧股份,3.52,10.0,451512526.0,31.81,498712912.0,35.13,-47200386.0,-3.32,-135071568.0,-9.51,-316440960.0,-22.29
5,300170,汉得信息,19.11,14.77,451356088.0,14.57,310924344.0,10.04,140431744.0,4.53,-145511024.0,-4.7,-305845056.0,-9.87
6,600300,维维股份,4.41,9.98,385910058.0,31.26,455155755.0,36.87,-69245697.0,-5.61,-193862370.0,-15.71,-192047691.0,-15.56
7,600126,杭钢股份,11.58,6.53,375115936.0,10.81,387485440.0,11.16,-12369504.0,-0.36,-168433504.0,-4.85,-206682432.0,-5.95
8,300251,光线传媒,22.54,10.93,326866688.0,6.11,219804128.0,4.11,107062560.0,2.0,45314848.0,0.85,-372181552.0,-6.95
9,300502,新易盛,81.42,4.57,319415392.0,10.93,119074096.0,4.07,200341296.0,6.85,-99244448.0,-3.39,-220170944.0,-7.53
10,300139,晓程科技,21.2,19.98,290654161.0,13.46,338716913.0,15.69,-48062752.0,-2.23,-210378176.0,-9.74,-80276000.0,-3.72
11,300773,拉卡拉,21.29,13.24,284238336.0,11.64,263571808.0,10.79,20666528.0,0.85,-177959600.0,-7.28,-106278720.0,-4.35
12,002050,三花智控,25.72,6.81,265709504.0,9.48,127756368.0,4.56,137953136.0,4.92,-38661664.0,-1.38,-227047840.0,-8.1
13,600489,中金黄金,15.43,6.93,250426128.0,12.04,108611712.0,5.22,141814416.0,6.82,-104770736.0,-5.04,-145655392.0,-7.0
14,002640,跨境通,3.81,10.12,237798092.0,45.71,215078499.0,41.34,22719593.0,4.37,-80354774.0,-15.45,-157443326.0,-30.26
15,603300,海南华铁,10.66,5.75,223624640.0,6.5,146477584.0,4.26,77147056.0,2.24,-111945408.0,-3.25,-111679248.0,-3.25
16,000617,中油资本,7.18,4.21,221969280.0,9.28,240141984.0,10.04,-18172704.0,-0.76,-116912848.0,-4.89,-105056432.0,-4.39
